"player","level","gender","division","team_name","Turns","Ds","Assists","Points","plus_minus","team_games","turns_per_game","ds_per_game","ast_per_game","pts_per_game","pls_mns_per_game","school"
"Jacques Nissen","Division 1","Men","Division 1 Men","Brown Brownian Motion",12,8,38,13,47,8,1.5,1,4.75,1.625,5.875,"Brown"
"Cal Nightingale","Division 1","Men","Division 1 Men","Brown Brownian Motion",3,0,12,27,36,8,0.375,0,1.5,3.375,4.5,"Brown"
"Faye Burdick","Division 1","Women","Division 1 Women","Colorado Quandary",6,12,16,13,35,7,0.857142857,1.714285714,2.285714286,1.857142857,5,"Colorado"
"Matthew Gregor","Division 3","Men","Division 3 Men","Franciscan Fatal",2,6,3,26,33,6,0.333333333,1,0.5,4.333333333,5.5,"Franciscan"
"Frankie Saraniti","Division 3","Women","Division 3 Women","Carleton Eclipse",11,15,12,17,33,6,1.833333333,2.5,2,2.833333333,5.5,"Carleton"
"Jacob Felton","Division 3","Men","Division 3 Men","Davenport Panthers",36,7,43,18,32,6,6,1.166666667,7.166666667,3,5.333333333,"Davenport"
"Rowan Dong","Division 3","Women","Division 3 Women","Carleton Eclipse",23,20,18,16,31,6,3.833333333,3.333333333,3,2.666666667,5.166666667,"Carleton"
"Leo Gordon","Division 1","Men","Division 1 Men","Brown Brownian Motion",27,6,34,18,31,8,3.375,0.75,4.25,2.25,3.875,"Brown"
"Charles Tantum","Division 3","Men","Division 3 Men","Williams WUFO",8,11,10,18,31,6,1.333333333,1.833333333,1.666666667,3,5.166666667,"Williams"
"Will Brandt","Division 3","Men","Division 3 Men","St Olaf Berzerkers",8,4,26,8,30,6,1.333333333,0.666666667,4.333333333,1.333333333,5,"St Olaf"
"Max Zwerin","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",8,10,6,22,30,6,1.333333333,1.666666667,1,3.666666667,5,"Lewis & Clark"
"Dawn Culton","Division 1","Women","Division 1 Women","North Carolina Pleiades",19,12,16,21,30,7,2.714285714,1.714285714,2.285714286,3,4.285714286,"North Carolina"
"Emily Kemp","Division 1","Women","Division 1 Women","Tufts EWO",5,7,5,22,29,5,1,1.4,1,4.4,5.8,"Tufts"
